Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Risk_Simple,Risk_Score_100,High_Risk_Flag,Skill_Intensity
Lawyer,79811,27,High School,0.68,0.52,0.5,Medium,0.23,0.65,0.17,0.69,0.39,0.94,0.14,0.34,0.11,0.92,Medio,50.0,0,0.458
Data Scientist,115981,9,High School,0.26,1.16,0.63,Medium,0.56,0.53,0.24,0.09,0.9,0.9,0.63,0.34,0.35,0.73,Medio,63.0,0,0.527
Research Scientist,96690,19,Master's,0.89,1.28,0.21,Low,0.08,0.16,0.9,0.61,0.01,0.1,0.66,0.01,0.16,0.55,Bajo,21.0,0,0.324
Graphic Designer,32869,2,High School,0.65,0.72,0.58,Medium,0.24,0.33,0.75,0.65,0.85,0.66,0.57,0.09,0.37,0.27,Medio,58.0,0,0.478
Teacher,36893,29,Bachelor's,0.97,0.89,0.27,Low,0.63,0.79,0.5,0.58,0.49,0.2,0.72,0.28,0.02,0.65,Bajo,27.0,0,0.486
Teacher,103744,11,Bachelor's,0.94,1.45,0.28,Low,0.37,0.02,0.93,0.43,0.97,0.96,0.85,0.29,0.39,0.85,Bajo,28.0,0,0.606
Retail Worker,148015,2,PhD,0.17,1.06,0.93,High,0.7,0.57,0.1,0.62,0.99,0.14,0.52,0.88,0.74,0.7,Alto,93.0,1,0.596
Doctor,108069,15,Master's,0.55,0.8,0.15,Low,0.26,0.61,0.08,0.01,0.63,0.19,0.07,0.4,0.05,0.89,Bajo,15.0,0,0.319
AI Engineer,43403,1,High School,0.09,1.08,0.06,Low,0.47,0.54,0.29,0.59,0.03,0.04,0.82,0.36,0.13,0.52,Bajo,6.0,0,0.379
HR Specialist,49508,27,Bachelor's,0.22,1.12,0.33,Medium,0.05,0.53,0.54,0.64,0.73,0.98,0.52,0.32,0.8,0.27,Bajo,33.0,0,0.538
Teacher,58251,25,PhD,0.08,0.53,0.29,Low,0.84,0.7,0.41,0.17,0.16,0.25,0.55,0.71,0.66,0.28,Bajo,29.0,0,0.473
Financial Analyst,33343,28,High School,0.74,1.05,0.54,Medium,0.42,0.25,0.36,0.76,0.01,0.12,0.05,0.04,0.86,0.7,Medio,54.0,0,0.357
AI Engineer,125435,15,PhD,0.1,0.99,0.17,Low,0.17,0.43,0.4,0.62,0.64,0.05,0.37,0.63,0.5,0.86,Bajo,17.0,0,0.467
Software Engineer,39540,12,High School,0.16,0.57,0.56,Medium,0.03,0.59,0.94,0.58,0.39,0.64,0.46,0.55,0.94,0.39,Medio,56.0,0,0.551
Mechanic,68304,7,Master's,0.91,0.7,0.33,Medium,0.1,0.02,0.09,0.68,0.07,0.32,0.84,0.02,0.81,0.28,Bajo,33.0,0,0.323
Customer Support,33267,25,PhD,0.7,1.13,0.92,High,0.74,0.8,0.28,0.18,0.75,0.81,0.99,0.41,0.37,0.78,Alto,92.0,1,0.611
HR Specialist,89031,22,Master's,0.93,1.36,0.47,Medium,0.75,0.75,0.1,0.9,0.51,0.83,0.32,0.9,0.39,0.01,Medio,47.0,0,0.546
HR Specialist,102936,18,Master's,0.09,0.82,0.68,Medium,0.95,0.57,0.63,0.45,0.29,0.33,0.67,0.75,0.79,0.79,Alto,68.0,0,0.622
Teacher,114076,20,Master's,0.49,0.56,0.19,Low,0.44,0.89,0.35,0.12,0.14,0.76,0.62,0.1,0.08,0.7,Bajo,19.0,0,0.42
Retail Worker,69081,8,High School,0.82,1.21,0.72,High,0.08,0.99,0.37,0.37,0.81,0.95,0.99,0.75,0.38,0.08,Alto,72.0,1,0.577
Retail Worker,102124,11,Bachelor's,0.56,0.92,0.93,High,0.11,0.49,0.01,0.47,0.06,0.12,0.12,0.65,0.75,0.58,Alto,93.0,1,0.336
Truck Driver,91629,24,High School,0.37,0.79,0.92,High,0.22,0.96,0.01,0.97,0.04,0.89,0.53,0.99,0.07,0.55,Alto,92.0,1,0.523
Teacher,43843,24,PhD,0.52,1.13,0.22,Low,0.45,0.63,0.58,0.9,0.05,0.28,0.95,0.89,0.46,0.62,Bajo,22.0,0,0.581
Mechanic,59703,25,Bachelor's,0.19,0.96,0.44,Medium,0.58,0.08,0.97,0.99,0.7,0.54,0.31,0.81,0.68,0.16,Medio,44.0,0,0.582
Mechanic,64349,2,Bachelor's,0.82,1.45,0.59,Medium,0.61,0.42,0.93,0.87,0.05,0.03,0.38,0.81,0.99,0.15,Medio,59.0,0,0.524
Customer Support,92292,25,Bachelor's,0.38,1.47,0.91,High,0.84,0.47,0.41,0.27,0.06,0.86,0.81,1.0,1.0,0.56,Alto,91.0,1,0.628
Chef,53524,20,PhD,0.94,1.35,0.4,Medium,0.45,0.13,0.95,0.61,0.23,0.67,0.62,0.36,0.11,0.67,Medio,40.0,0,0.48
Retail Worker,88017,21,Bachelor's,0.77,1.02,0.91,High,0.55,0.56,0.88,0.4,0.13,0.03,0.76,0.62,0.7,0.21,Alto,91.0,1,0.484
Graphic Designer,111317,27,PhD,0.98,1.11,0.55,Medium,0.55,0.09,0.73,0.55,0.45,0.91,0.3,0.52,0.7,0.8,Medio,55.0,0,0.56
Doctor,144825,23,Bachelor's,0.84,1.27,0.07,Low,0.05,0.62,0.35,0.21,0.58,0.34,0.54,0.46,0.58,0.4,Bajo,7.0,0,0.413
Research Scientist,52415,7,PhD,0.18,1.2,0.15,Low,0.87,0.52,0.97,0.6,0.22,0.82,0.35,0.35,0.03,0.55,Bajo,15.0,0,0.528
Construction Worker,134680,11,PhD,0.21,0.86,0.83,High,0.69,0.04,0.8,0.63,0.08,0.87,0.92,0.06,0.28,0.81,Alto,83.0,1,0.518
Customer Support,109714,28,PhD,0.99,1.04,0.93,High,0.24,0.76,0.53,0.72,0.06,0.15,0.13,0.69,0.84,0.75,Alto,93.0,1,0.487
Data Scientist,97067,12,High School,0.87,0.85,0.46,Medium,0.1,0.74,0.18,0.56,0.84,0.09,0.54,0.23,0.34,0.47,Medio,46.0,0,0.409
Construction Worker,37561,2,Master's,0.65,0.98,0.85,High,0.74,0.56,0.59,0.56,0.38,0.34,0.9,0.61,0.24,0.5,Alto,85.0,1,0.542
Teacher,142581,4,High School,0.93,0.51,0.11,Low,0.37,0.49,0.85,0.09,0.81,0.06,0.84,0.05,0.02,0.7,Bajo,11.0,0,0.428
UX Researcher,39111,5,Bachelor's,0.4,1.47,0.65,Medium,0.82,0.26,0.17,0.67,0.93,0.56,0.57,0.28,0.77,0.19,Medio,65.0,0,0.522
Retail Worker,72101,3,High School,0.43,1.01,0.76,High,0.11,0.61,0.29,0.58,0.15,0.48,0.53,0.05,0.34,0.13,Alto,76.0,1,0.327
Security Guard,117958,9,High School,0.99,0.82,0.9,High,0.25,0.68,0.76,0.6,0.47,0.41,0.35,0.93,0.83,0.97,Alto,90.0,1,0.625
AI Engineer,97444,23,High School,0.99,0.71,0.14,Low,0.93,0.72,0.05,0.78,0.83,0.75,0.8,0.83,0.19,0.24,Bajo,14.0,0,0.612
AI Engineer,30077,25,High School,0.91,0.82,0.2,Low,0.68,0.45,0.71,0.9,0.62,0.54,0.44,0.58,0.36,0.39,Bajo,20.0,0,0.567
UX Researcher,148721,13,High School,0.07,0.73,0.52,Medium,0.43,0.33,0.73,0.69,0.17,0.88,0.5,0.74,0.57,1.0,Medio,52.0,0,0.604
Customer Support,127720,0,High School,0.71,1.28,0.74,High,0.2,0.71,0.49,0.75,0.1,0.54,0.38,0.46,0.6,0.5,Alto,74.0,1,0.473
Data Scientist,50103,4,Master's,0.49,0.91,0.61,Medium,0.01,0.6,0.57,0.72,0.6,0.83,0.96,0.34,0.23,0.42,Medio,61.0,0,0.528
Graphic Designer,145033,13,High School,0.61,1.41,0.36,Medium,0.1,0.26,0.73,0.59,0.1,0.92,0.79,0.02,0.65,0.77,Medio,36.0,0,0.493
Doctor,95310,25,Bachelor's,0.07,0.58,0.08,Low,0.84,0.91,0.12,0.24,0.17,0.19,0.84,0.33,0.31,0.23,Bajo,8.0,0,0.418
Mechanic,93374,20,Master's,0.38,1.24,0.38,Medium,0.79,0.6,0.11,0.41,0.86,0.92,0.47,0.48,0.92,0.59,Medio,38.0,0,0.615
Research Scientist,71914,11,Master's,0.91,0.75,0.19,Low,0.17,0.03,0.31,0.78,0.28,0.22,0.21,0.52,0.98,0.46,Bajo,19.0,0,0.396
Financial Analyst,132547,21,PhD,0.86,1.04,0.37,Medium,0.3,0.31,0.4,0.43,0.8,0.35,0.47,0.62,0.38,0.84,Medio,37.0,0,0.49
UX Researcher,119106,17,Master's,0.29,1.21,0.51,Medium,0.53,0.48,0.5,0.77,0.1,0.33,0.08,0.75,0.27,0.9,Medio,51.0,0,0.471
UX Researcher,82603,0,High School,0.03,0.66,0.59,Medium,0.66,0.03,0.22,0.23,0.67,0.02,0.1,0.8,0.18,0.65,Medio,59.0,0,0.356
Security Guard,131358,7,Bachelor's,0.1,0.74,0.88,High,0.86,0.83,0.4,0.67,0.2,0.29,0.9,0.01,0.09,0.21,Alto,88.0,1,0.446
Security Guard,83394,15,High School,0.18,1.08,0.81,High,0.89,0.82,0.34,0.26,0.38,0.59,0.27,0.62,0.41,0.55,Alto,81.0,1,0.513
Nurse,92516,11,Bachelor's,0.22,1.47,0.24,Low,0.11,0.57,0.99,0.47,0.18,0.48,0.51,0.74,0.7,0.4,Bajo,24.0,0,0.515
Graphic Designer,53752,21,Master's,0.65,0.92,0.35,Medium,0.9,0.69,0.68,0.82,0.53,0.82,0.5,0.07,0.41,0.5,Medio,35.0,0,0.592
AI Engineer,108411,22,PhD,0.11,0.64,0.12,Low,0.27,0.73,0.25,0.63,0.49,0.57,0.84,0.4,0.77,0.42,Bajo,12.0,0,0.537
Chef,116145,27,Master's,0.96,0.68,0.34,Medium,0.77,0.07,0.84,0.44,0.92,0.72,0.61,0.95,0.4,0.95,Medio,34.0,0,0.667
Data Scientist,124613,4,High School,0.48,0.77,0.52,Medium,0.16,0.84,0.85,0.96,0.15,0.62,0.47,0.34,0.35,0.41,Medio,52.0,0,0.515
Marketing Manager,30060,10,PhD,0.6,0.96,0.33,Medium,0.08,0.0,0.97,0.01,0.1,0.31,0.81,0.96,0.79,0.69,Bajo,33.0,0,0.472
Marketing Manager,87134,11,High School,0.54,1.37,0.59,Medium,0.81,0.66,0.69,0.85,0.25,0.49,0.22,0.99,0.94,0.04,Medio,59.0,0,0.594
Construction Worker,67641,15,PhD,0.93,0.68,0.84,High,0.92,0.03,0.7,0.3,0.92,0.97,0.94,0.47,0.86,0.84,Alto,84.0,1,0.695
Research Scientist,67265,26,Master's,0.83,0.54,0.2,Low,0.23,0.12,0.08,0.7,0.34,0.72,0.07,0.32,0.54,0.79,Bajo,20.0,0,0.391
Customer Support,145608,12,Master's,0.63,1.39,0.85,High,0.23,0.02,0.87,0.02,0.87,0.53,0.94,0.8,1.0,0.35,Alto,85.0,1,0.563
Mechanic,59629,16,High School,0.4,0.98,0.55,Medium,0.87,0.98,0.77,0.42,0.42,0.74,0.24,0.11,0.35,0.29,Medio,55.0,0,0.519
Data Scientist,85619,17,Bachelor's,0.23,0.54,0.31,Medium,0.99,0.43,0.38,0.68,0.22,0.95,0.79,0.09,0.42,0.88,Bajo,31.0,0,0.583
Software Engineer,136506,29,PhD,0.61,0.67,0.7,Medium,0.23,0.94,0.65,0.61,0.51,0.23,0.18,0.22,0.19,0.78,Alto,70.0,0,0.454
Research Scientist,148533,4,High School,0.06,1.47,0.27,Low,0.93,0.99,0.17,0.4,0.76,0.7,0.15,0.82,0.22,0.22,Bajo,27.0,0,0.536
Financial Analyst,105758,24,Bachelor's,0.59,1.08,0.34,Medium,0.88,0.27,0.13,0.89,0.96,0.86,0.81,0.66,0.55,0.09,Medio,34.0,0,0.61
Marketing Manager,55559,27,Master's,0.37,0.76,0.59,Medium,0.5,0.08,0.22,0.68,0.08,0.85,0.5,0.48,0.59,0.82,Medio,59.0,0,0.48
Financial Analyst,31591,7,Master's,0.68,1.07,0.41,Medium,0.88,0.8,0.66,0.85,0.87,0.71,0.84,0.7,0.68,0.62,Medio,41.0,0,0.761
Financial Analyst,32469,27,Master's,0.16,1.38,0.65,Medium,0.03,0.83,0.13,0.34,0.74,0.16,0.82,0.83,0.51,0.01,Medio,65.0,0,0.44
Marketing Manager,117263,12,Bachelor's,0.62,1.48,0.55,Medium,0.26,0.63,0.54,0.78,0.11,0.76,0.54,0.96,0.34,0.63,Medio,55.0,0,0.555
Retail Worker,121357,4,Master's,0.1,1.44,0.87,High,0.07,0.3,0.71,0.07,0.58,0.35,0.62,0.05,0.87,0.97,Alto,87.0,1,0.459
Nurse,54860,11,High School,0.75,0.63,0.24,Low,0.02,0.02,0.32,0.49,0.77,0.68,0.45,0.27,1.0,0.43,Bajo,24.0,0,0.445
Retail Worker,36540,8,PhD,0.16,1.29,0.87,High,0.22,0.08,0.68,0.65,0.27,0.95,0.15,0.43,0.94,0.42,Alto,87.0,1,0.479
Retail Worker,58602,19,High School,0.4,0.77,0.95,High,0.41,0.89,0.23,0.21,0.03,0.65,0.37,0.86,0.47,0.97,Alto,95.0,1,0.509
Lawyer,69341,24,PhD,0.87,1.28,0.61,Medium,0.84,0.76,0.63,0.13,0.03,0.92,0.62,0.8,0.48,0.12,Medio,61.0,0,0.533
Doctor,41536,29,PhD,0.69,0.93,0.1,Low,0.49,0.06,0.58,0.27,0.8,0.31,0.46,0.01,0.07,0.39,Bajo,10.0,0,0.344
Marketing Manager,113309,14,Master's,0.6,0.79,0.58,Medium,0.86,0.78,0.04,0.48,0.1,0.24,0.99,0.14,0.5,0.62,Medio,58.0,0,0.475
AI Engineer,78787,0,Master's,0.56,0.51,0.13,Low,0.52,0.09,0.35,0.03,0.08,0.4,0.13,0.57,0.69,0.8,Bajo,13.0,0,0.366
Graphic Designer,98577,9,High School,0.17,0.6,0.55,Medium,0.71,0.03,0.94,0.05,0.54,0.71,0.87,0.71,0.8,0.34,Medio,55.0,0,0.57
Construction Worker,54826,6,Master's,0.66,1.05,0.85,High,0.78,0.48,0.04,0.16,0.44,0.72,0.59,0.65,0.48,0.62,Alto,85.0,1,0.496
Marketing Manager,61890,22,Master's,0.47,1.24,0.65,Medium,0.43,0.04,0.16,0.02,0.65,0.33,0.54,0.49,0.08,0.4,Medio,65.0,0,0.314
HR Specialist,75500,28,Bachelor's,0.42,0.7,0.64,Medium,0.17,0.96,0.42,0.85,0.63,0.74,0.77,0.5,0.54,0.51,Medio,64.0,0,0.609
Truck Driver,95128,3,PhD,0.03,0.9,0.85,High,0.6,0.79,0.66,0.99,0.28,0.36,0.38,0.47,0.84,0.24,Alto,85.0,1,0.561
UX Researcher,49975,3,High School,0.91,0.68,0.4,Medium,0.97,0.18,0.85,0.49,0.25,0.87,0.45,0.51,0.36,0.59,Medio,40.0,0,0.552
Chef,75893,16,Master's,0.39,1.47,0.4,Medium,0.66,0.33,0.77,0.13,0.97,0.45,0.24,0.07,0.17,0.52,Medio,40.0,0,0.431
HR Specialist,106619,29,High School,0.15,0.95,0.54,Medium,0.95,0.25,0.36,0.38,0.61,0.36,0.53,0.78,0.71,0.45,Medio,54.0,0,0.538
HR Specialist,113310,14,High School,0.56,1.04,0.31,Medium,0.99,0.12,0.23,0.05,0.64,0.22,0.18,0.09,0.1,0.58,Bajo,31.0,0,0.32
AI Engineer,55611,9,High School,0.4,0.98,0.22,Low,0.02,0.32,0.97,0.58,0.25,0.52,0.34,0.53,0.13,0.13,Bajo,22.0,0,0.379
Truck Driver,108131,15,Bachelor's,0.94,1.23,0.74,High,0.19,0.73,0.16,0.23,0.96,0.26,0.66,0.98,0.37,0.02,Alto,74.0,1,0.456
Research Scientist,58625,16,Bachelor's,0.83,1.36,0.24,Low,0.11,0.8,0.92,0.6,0.94,0.83,0.67,0.58,0.35,0.16,Bajo,24.0,0,0.596
Lawyer,47087,5,Bachelor's,0.32,1.37,0.7,Medium,0.75,0.09,0.29,0.11,0.65,0.77,0.93,0.44,0.9,0.88,Alto,70.0,0,0.581
Customer Support,143942,18,Bachelor's,0.87,0.88,0.77,High,0.65,0.33,0.63,0.61,0.56,0.38,0.55,0.6,0.55,0.44,Alto,77.0,1,0.53
Mechanic,109973,25,High School,0.59,0.67,0.56,Medium,0.76,0.5,0.54,0.95,0.85,0.91,0.81,0.11,0.15,0.53,Medio,56.0,0,0.611
Truck Driver,57598,11,PhD,0.48,0.89,0.84,High,0.75,0.72,0.52,0.82,0.43,0.9,0.07,0.95,0.65,0.38,Alto,84.0,1,0.619
Doctor,75379,20,Bachelor's,0.48,0.69,0.09,Low,0.62,0.52,0.67,0.93,0.53,0.58,0.09,0.72,0.4,0.98,Bajo,9.0,0,0.604
HR Specialist,130441,24,High School,0.52,0.62,0.64,Medium,0.8,0.18,0.3,0.79,0.19,0.92,0.42,0.09,0.82,0.37,Medio,64.0,0,0.488
UX Researcher,72668,9,High School,0.11,0.5,0.56,Medium,0.52,0.59,0.79,0.65,0.17,0.36,0.91,0.77,0.56,0.26,Medio,56.0,0,0.558
Data Scientist,140641,23,Master's,0.82,0.92,0.57,Medium,0.1,0.62,0.45,0.59,0.17,0.74,0.86,0.22,0.1,0.02,Medio,57.0,0,0.387
Marketing Manager,46014,2,PhD,0.61,1.05,0.39,Medium,0.39,0.59,0.5,0.99,0.14,0.7,0.4,0.43,0.72,0.69,Medio,39.0,0,0.555
Data Scientist,92438,23,Bachelor's,0.13,0.6,0.59,Medium,0.58,0.27,0.08,0.09,0.89,0.19,0.32,0.23,0.35,0.07,Medio,59.0,0,0.307
Doctor,102240,27,High School,0.07,1.3,0.11,Low,0.54,0.88,0.65,0.53,0.32,0.33,0.67,0.99,0.66,0.56,Bajo,11.0,0,0.613
Truck Driver,39686,29,PhD,0.33,1.08,0.72,High,0.96,0.63,0.75,0.17,0.41,0.42,0.82,0.0,0.3,0.98,Alto,72.0,1,0.544
Mechanic,40754,15,PhD,0.38,0.62,0.69,Medium,0.02,0.74,0.77,0.24,0.67,0.09,0.26,0.79,0.86,0.61,Alto,69.0,0,0.505
Retail Worker,40699,5,Bachelor's,0.16,0.56,0.73,High,0.23,0.34,0.38,0.35,0.24,0.51,0.83,0.28,0.94,0.87,Alto,73.0,1,0.497
HR Specialist,120373,2,PhD,0.79,1.07,0.53,Medium,0.39,0.5,0.4,0.54,0.63,0.67,0.53,0.72,0.14,0.21,Medio,53.0,0,0.473
Software Engineer,70461,8,High School,0.32,0.52,0.36,Medium,0.22,0.96,0.57,0.93,0.58,0.48,0.31,0.61,0.14,0.9,Medio,36.0,0,0.57
HR Specialist,103965,28,High School,0.32,1.45,0.63,Medium,0.67,0.12,0.48,0.51,0.23,0.08,0.78,0.12,0.59,0.94,Medio,63.0,0,0.452
Research Scientist,58179,17,PhD,0.28,1.35,0.05,Low,0.02,0.6,0.36,0.39,0.56,0.19,0.21,0.48,0.75,0.62,Bajo,5.0,0,0.418
Doctor,125694,8,PhD,0.43,0.67,0.07,Low,0.78,0.27,0.18,0.69,0.62,0.63,0.23,0.23,0.22,0.17,Bajo,7.0,0,0.402
Chef,128723,27,High School,0.85,1.22,0.62,Medium,0.4,0.65,0.35,0.53,0.48,0.18,0.39,0.96,0.25,0.13,Medio,62.0,0,0.432
Financial Analyst,36548,21,Bachelor's,0.79,1.08,0.57,Medium,0.19,0.62,0.32,0.83,0.63,0.2,0.06,0.04,0.37,0.27,Medio,57.0,0,0.353
Research Scientist,40634,20,PhD,0.84,0.6,0.17,Low,0.15,0.32,0.74,0.48,0.38,0.39,0.46,0.79,0.89,0.96,Bajo,17.0,0,0.556
HR Specialist,62784,23,Master's,0.32,1.19,0.48,Medium,0.25,0.84,0.04,0.9,0.46,0.64,0.66,0.9,0.64,0.61,Medio,48.0,0,0.594
Nurse,37099,22,High School,0.52,0.65,0.23,Low,0.51,0.68,0.04,0.08,0.72,0.07,0.07,0.01,0.96,0.74,Bajo,23.0,0,0.388
Graphic Designer,74857,13,Bachelor's,0.99,1.47,0.68,Medium,0.78,0.35,0.41,0.55,0.83,0.07,0.42,0.08,0.51,0.9,Alto,68.0,0,0.49
Data Scientist,91063,7,Master's,0.62,0.88,0.38,Medium,0.12,0.62,0.77,0.64,0.53,0.04,0.97,0.8,0.29,0.98,Medio,38.0,0,0.576
Security Guard,89765,12,PhD,0.58,1.25,0.9,High,0.66,0.13,0.34,0.93,0.22,0.37,0.43,0.44,0.61,0.94,Alto,90.0,1,0.507
Mechanic,32461,19,High School,0.12,0.7,0.65,Medium,0.65,0.29,0.82,0.86,0.85,0.92,0.25,0.76,0.46,0.84,Medio,65.0,0,0.67
Teacher,53911,13,Master's,0.78,1.16,0.09,Low,0.55,0.98,0.94,0.04,0.16,0.13,0.73,0.82,0.21,0.51,Bajo,9.0,0,0.507
Financial Analyst,50567,11,Bachelor's,0.73,1.04,0.54,Medium,0.51,0.3,0.57,0.69,0.87,0.64,0.76,0.16,0.46,0.01,Medio,54.0,0,0.497
Marketing Manager,52656,11,Bachelor's,0.73,1.49,0.34,Medium,0.4,0.8,0.2,0.56,0.73,0.62,0.19,0.36,0.78,0.55,Medio,34.0,0,0.519
Research Scientist,77701,9,Bachelor's,0.76,0.54,0.24,Low,0.2,0.96,0.37,0.33,0.15,0.31,0.88,1.0,0.37,0.45,Bajo,24.0,0,0.502
Graphic Designer,137539,9,High School,0.89,1.09,0.46,Medium,0.41,0.7,0.0,0.62,0.36,0.79,0.09,0.59,0.48,0.64,Medio,46.0,0,0.468
Research Scientist,46087,4,High School,0.58,1.06,0.19,Low,0.6,0.68,0.8,0.27,0.83,0.5,0.08,0.06,0.33,0.78,Bajo,19.0,0,0.493
Lawyer,67861,20,PhD,0.79,1.02,0.48,Medium,0.15,0.33,0.43,0.09,0.22,0.6,0.74,1.0,0.93,0.64,Medio,48.0,0,0.513
Construction Worker,89792,5,Master's,0.64,1.29,0.73,High,0.41,0.84,0.38,0.57,0.59,0.18,0.36,0.33,0.03,0.02,Alto,73.0,1,0.371
Chef,36397,21,Bachelor's,0.27,1.02,0.42,Medium,0.94,0.26,0.43,0.87,0.84,0.19,0.8,0.46,0.48,0.13,Medio,42.0,0,0.54
Data Scientist,49715,29,Master's,0.73,1.0,0.47,Medium,0.73,0.77,0.16,0.61,0.14,0.75,0.66,0.96,0.07,0.06,Medio,47.0,0,0.491
Lawyer,122573,21,High School,0.26,0.75,0.66,Medium,0.25,0.27,0.76,0.45,0.78,0.07,0.49,0.03,0.06,0.91,Medio,66.0,0,0.407
Graphic Designer,133864,20,Master's,0.53,0.91,0.44,Medium,0.9,0.02,0.66,0.96,0.56,0.94,0.05,0.42,0.26,0.73,Medio,44.0,0,0.55
Chef,48745,20,Master's,0.26,1.15,0.38,Medium,0.57,0.46,0.97,0.61,0.35,0.11,0.15,0.23,0.25,0.85,Medio,38.0,0,0.455
Doctor,49446,0,Master's,0.52,0.61,0.27,Low,0.72,0.07,0.71,0.54,0.08,0.46,0.48,0.17,0.95,0.85,Bajo,27.0,0,0.503
Nurse,98673,9,Master's,0.46,0.91,0.21,Low,0.55,0.06,0.51,0.81,0.46,0.05,0.79,0.2,0.26,0.16,Bajo,21.0,0,0.385
Customer Support,93870,3,PhD,0.76,1.02,0.75,High,0.88,0.88,0.87,0.24,0.45,0.98,0.77,0.03,0.07,0.46,Alto,75.0,1,0.563
Financial Analyst,72951,11,High School,0.54,1.0,0.34,Medium,0.66,0.82,0.38,0.78,0.96,0.2,0.52,0.29,0.79,0.58,Medio,34.0,0,0.598
Construction Worker,37239,22,High School,0.64,0.7,0.92,High,0.52,0.45,0.56,0.17,0.61,0.36,0.9,0.17,0.51,0.6,Alto,92.0,1,0.485
Customer Support,149798,7,PhD,0.89,1.15,0.74,High,0.44,0.62,0.08,0.88,0.8,0.51,0.97,0.42,0.98,0.67,Alto,74.0,1,0.637
Security Guard,149052,1,Bachelor's,0.17,1.38,0.81,High,0.16,0.01,0.56,0.53,0.72,0.89,0.08,0.73,0.19,0.86,Alto,81.0,1,0.473
Teacher,39587,5,Bachelor's,0.54,1.21,0.13,Low,0.47,0.82,0.46,0.36,0.49,0.83,0.34,0.17,0.71,0.83,Bajo,13.0,0,0.548
Marketing Manager,120301,0,Master's,0.24,0.64,0.44,Medium,0.45,0.75,0.65,0.62,0.35,0.84,0.47,0.98,0.63,0.13,Medio,44.0,0,0.587
HR Specialist,117969,1,PhD,0.31,0.5,0.57,Medium,0.17,0.66,0.99,0.07,0.08,0.34,0.87,0.22,0.36,0.07,Medio,57.0,0,0.383
Security Guard,39528,20,High School,0.41,1.26,0.93,High,0.23,0.81,0.06,0.9,0.65,0.87,0.0,0.17,0.39,0.38,Alto,93.0,1,0.446
Teacher,95677,3,Master's,0.38,0.63,0.15,Low,0.8,0.48,0.02,0.42,0.03,0.97,0.13,0.71,0.97,0.83,Bajo,15.0,0,0.536
HR Specialist,51778,8,Bachelor's,0.84,1.48,0.55,Medium,0.56,0.63,0.53,0.64,0.45,0.22,0.12,0.07,0.26,0.05,Medio,55.0,0,0.353
Lawyer,36816,23,High School,0.28,1.32,0.33,Medium,0.23,0.73,0.6,0.06,0.88,0.88,0.33,0.34,0.99,0.63,Bajo,33.0,0,0.567
